theta,tau_fric
0,-5
5,0.7178570737
10,1.6170589706
15,2.4922926222
20,3.3506366588
25,4.1965281622
30,5.0329515916
35,5.8619513165
40,6.6849571179
45,7.5029936754
50,8.3168329376
55,9.1270700681
60,9.9341697451
65,10.7385003947
70,11.5403612381
75,12.3400006021
80,13.1376268015
85,13.9334154759
90,14.7275157472
95,15.5200554284
100,16.3111448015
105,17.1008799959
110,17.8893440841
115,18.6766080094
120,19.4627313022
125,20.2477636181
130,21.0317452213
135,21.8147073631
140,22.5966726556
145,23.3776554410
150,24.1576621202
