key_id,note_name,length,density,r_string
0,A0,2,0.08,0.00185
1,A#0,1.97,0.078,0.00183
2,B0,1.94,0.076,0.0018
3,C1,1.91,0.074,0.00178
4,C#1,1.88,0.072,0.00176
5,D1,1.85,0.07,0.00173
6,D#1,1.82,0.068,0.0017
7,E1,1.79,0.066,0.00168
8,F1,1.76,0.064,0.00165
9,F#1,1.73,0.062,0.00162
10,G1,1.7,0.06,0.00159
11,G#1,1.66,0.058,0.00156
12,A1,1.63,0.056,0.00152
13,A#1,1.6,0.054,0.00149
14,B1,1.57,0.052,0.00146
15,C2,1.54,0.05,0.00143
16,C#2,1.51,0.048,0.0014
17,D2,1.48,0.046,0.00138
18,D#2,1.45,0.044,0.00135
19,E2,1.42,0.042,0.00132
20,F2,1.39,0.04,0.00129
21,F#2,1.36,0.038,0.00126
22,G2,1.33,0.036,0.00123
23,G#2,1.3,0.034,0.0012
24,A2,1.27,0.032,0.00117
25,A#2,1.24,0.03,0.00114
26,B2,1.2,0.029,0.00111
27,C3,1.17,0.028,0.00108
28,C#3,1.14,0.027,0.00106
29,D3,1.11,0.026,0.00104
30,D#3,1.07,0.025,0.00102
31,E3,1.04,0.024,0.001
32,F3,1.01,0.023,0.00098
33,F#3,0.98,0.022,0.00096
34,G3,0.95,0.021,0.00094
35,G#3,0.92,0.02,0.00092
36,A3,0.9,0.0195,0.0009
37,A#3,0.87,0.019,0.00088
38,B3,0.85,0.0185,0.00086
39,C4,0.83,0.018,0.00084
40,C#4,0.81,0.0175,0.00082
41,D4,0.79,0.017,0.0008
42,D#4,0.77,0.0166,0.00078
43,E4,0.75,0.0162,0.00076
44,F4,0.74,0.0158,0.00075
45,F#4,0.73,0.0154,0.00074
46,G4,0.72,0.015,0.00073
47,G#4,0.71,0.0146,0.00072
48,A4,0.7,0.0142,0.00071
49,A#4,0.69,0.014,0.0007
50,B4,0.68,0.0138,0.00069
51,C5,0.67,0.0136,0.00068
52,C#5,0.66,0.0134,0.00067
53,D5,0.65,0.0132,0.00066
54,D#5,0.64,0.013,0.00065
55,E5,0.63,0.0128,0.00064
56,F5,0.62,0.0126,0.00063
57,F#5,0.61,0.0124,0.00062
58,G5,0.6,0.0122,0.00061
59,G#5,0.59,0.012,0.0006
60,A5,0.58,0.0118,0.00059
61,A#5,0.57,0.0116,0.00058
62,B5,0.56,0.0114,0.00057
63,C6,0.55,0.0112,0.00056
64,C#6,0.54,0.011,0.00055
65,D6,0.53,0.0108,0.00054
66,D#6,0.52,0.0106,0.00053
67,E6,0.51,0.0104,0.00052
68,F6,0.5,0.0102,0.00051
69,F#6,0.49,0.01,0.0005
70,G6,0.48,0.0098,0.00049
71,G#6,0.47,0.0096,0.00048
72,A6,0.46,0.0094,0.00047
73,A#6,0.45,0.0092,0.00046
74,B6,0.44,0.009,0.00045
75,C7,0.43,0.0088,0.00045
76,C#7,0.42,0.0086,0.00044
77,D7,0.41,0.0084,0.00044
78,D#7,0.4,0.0082,0.00043
79,E7,0.39,0.008,0.00043
80,F7,0.38,0.0078,0.00042
81,F#7,0.37,0.0076,0.00042
82,G7,0.36,0.0074,0.00041
83,G#7,0.35,0.0072,0.00041
84,A7,0.34,0.007,0.0004
85,A#7,0.33,0.0068,0.0004
86,B7,0.32,0.0066,0.00039
87,C8,0.31,0.0064,0.00039
