key_id,note_name,length,density,r_string
0,A0,1.93,0.072,0.0018
1,A#0,1.9,0.07,0.00178
2,B0,1.87,0.068,0.00175
3,C1,1.83,0.066,0.00172
4,C#1,1.8,0.064,0.0017
5,D1,1.77,0.062,0.00167
6,D#1,1.74,0.06,0.00164
7,E1,1.7,0.058,0.00162
8,F1,1.67,0.056,0.00158
9,F#1,1.63,0.054,0.00155
10,G1,1.6,0.052,0.00152
11,G#1,1.56,0.05,0.00148
12,A1,1.52,0.048,0.00145
13,A#1,1.48,0.046,0.00142
14,B1,1.45,0.044,0.0014
15,C2,1.41,0.042,0.00137
16,C#2,1.37,0.04,0.00134
17,D2,1.34,0.038,0.0013
18,D#2,1.3,0.036,0.00127
19,E2,1.26,0.034,0.00124
20,F2,1.23,0.032,0.00121
21,F#2,1.19,0.03,0.00118
22,G2,1.15,0.028,0.00115
23,G#2,1.12,0.026,0.00112
24,A2,1.08,0.024,0.00108
25,A#2,1.05,0.022,0.00105
26,B2,1.02,0.021,0.00102
27,C3,0.98,0.02,0.001
28,C#3,0.95,0.019,0.00097
29,D3,0.92,0.018,0.00094
30,D#3,0.89,0.017,0.00092
31,E3,0.86,0.016,0.00089
32,F3,0.83,0.015,0.00086
33,F#3,0.8,0.014,0.00084
34,G3,0.77,0.013,0.00081
35,G#3,0.75,0.0125,0.00079
36,A3,0.72,0.012,0.00076
37,A#3,0.7,0.0115,0.00074
38,B3,0.67,0.011,0.00072
39,C4,0.65,0.0105,0.0007
40,C#4,0.63,0.01,0.00068
41,D4,0.61,0.0098,0.00066
42,D#4,0.6,0.0096,0.00064
43,E4,0.59,0.0094,0.00062
44,F4,0.58,0.0092,0.00061
45,F#4,0.56,0.009,0.0006
46,G4,0.55,0.0088,0.00059
47,G#4,0.54,0.0086,0.00058
48,A4,0.53,0.0084,0.00057
49,A#4,0.52,0.0082,0.00056
50,B4,0.51,0.008,0.00055
51,C5,0.5,0.0078,0.00054
52,C#5,0.49,0.0076,0.00053
53,D5,0.48,0.0074,0.00052
54,D#5,0.47,0.0072,0.00051
55,E5,0.46,0.007,0.0005
56,F5,0.45,0.0068,0.00049
57,F#5,0.44,0.0066,0.00048
58,G5,0.43,0.0064,0.00047
59,G#5,0.42,0.0062,0.00046
60,A5,0.41,0.006,0.00045
61,A#5,0.4,0.0058,0.00044
62,B5,0.39,0.0056,0.00043
63,C6,0.38,0.0054,0.00042
64,C#6,0.37,0.0052,0.00041
65,D6,0.36,0.005,0.0004
66,D#6,0.35,0.0049,0.00039
67,E6,0.34,0.0048,0.00038
68,F6,0.33,0.0047,0.00038
69,F#6,0.32,0.0046,0.00037
70,G6,0.31,0.0045,0.00036
71,G#6,0.3,0.0044,0.00036
72,A6,0.29,0.0043,0.00035
73,A#6,0.28,0.0042,0.00035
74,B6,0.27,0.0041,0.00034
75,C7,0.26,0.004,0.00034
76,C#7,0.25,0.0039,0.00033
77,D7,0.24,0.0038,0.00033
78,D#7,0.23,0.0037,0.00032
79,E7,0.22,0.0036,0.00032
80,F7,0.21,0.0035,0.00031
81,F#7,0.2,0.0034,0.00031
82,G7,0.19,0.0033,0.0003
83,G#7,0.18,0.0032,0.0003
84,A7,0.17,0.0031,0.00029
85,A#7,0.16,0.003,0.00029
86,B7,0.155,0.0029,0.00028
87,C8,0.15,0.0028,0.00028
