key_id,note_name,length,density
0,A0,1.5,0.015
1,A#0,1.48,0.013
2,B0,1.46,0.0115
3,C1,1.44,0.01
4,C#1,1.42,0.009
5,D1,1.4,0.008
6,D#1,1.38,0.0075
7,E1,1.36,0.007
8,F1,0,0.0065
9,F#1,1.32,0.006
10,G1,1.3,0.0055
11,G#1,1.28,0.005
12,A1,1.26,0.0048
13,A#1,1.24,0.0045
14,B1,1.22,0.0043
15,C2,1.2,0.004
16,C#2,1.18,0.0038
17,D2,1.16,0.0035
18,D#2,1.14,0.0033
19,E2,1.12,0.003
20,F2,1.1,0.0028
21,F#2,1.08,0.0026
22,G2,1.06,0.0024
23,G#2,1.04,0.0022
24,A2,1.02,0.002
25,A#2,1,0.0019
26,B2,0.98,0.0018
27,C3,0.96,0.0017
28,C#3,0.94,0.0016
29,D3,0.92,0.0015
30,D#3,0.9,0.0014
31,E3,0.88,0.0013
32,F3,0.86,0.0012
33,F#3,0.84,0.0011
34,G3,0.82,0.001
35,G#3,0.8,0.00095
36,A3,0.78,0.0009
37,A#3,0.76,0.00085
38,B3,0.74,0.0008
39,C4,0.72,0.00075
40,C#4,0.7,0.0007
41,D4,0.68,0.00065
42,D#4,0.66,0.0006
43,E4,0.64,0.00055
44,F4,0.62,0.0005
45,F#4,0.6,0.00048
46,G4,0.58,0.00046
47,G#4,0.56,0.00044
48,A4,0.54,0.00042
49,A#4,0.52,0.0004
50,B4,0.5,0.00038
51,C5,0.48,0.00036
52,C#5,0.46,0.00034
53,D5,0.44,0.00032
54,D#5,0.42,0.0003
55,E5,0.4,0.00028
56,F5,0.38,0.00026
57,F#5,0.36,0.00024
58,G5,0.34,0.00022
59,G#5,0.32,0.0002
60,A5,0.3,0.00019
61,A#5,0.28,0.00018
62,B5,0.26,0.00017
63,C6,0.24,0.00016
64,C#6,0.22,0.00015
65,D6,0.2,0.00014
66,D#6,0.18,0.00013
67,E6,0.16,0.00012
68,F6,0.14,0.00011
69,F#6,0.12,0.0001
70,G6,0.1,0.00009
71,G#6,0.09,0.00008
72,A6,0.08,0.00007
73,A#6,0.07,0.00006
74,B6,0.06,0.00005
75,C7,0.05,0.00004
76,C#7,0.045,0.000035
77,D7,0.04,0.00003
78,D#7,0.035,0.000025
79,E7,0.03,0.00002
80,F7,0.025,0.000015
81,F#7,0.02,0.000012
82,G7,0.018,0.00001
83,G#7,0.016,0.000008
84,A7,0.014,0.000007
85,A#7,0.012,0.000006
86,B7,0.01,0.000005
87,C8,0.008,0.000004
