key_id,note_name,length,density,r_string
0,A0,1.55,0.018,0.0012
1,A#0,1.54,0.0172,0.00118
2,B0,1.52,0.0165,0.00115
3,C1,1.5,0.0158,0.00112
4,C#1,1.48,0.015,0.0011
5,D1,1.46,0.0143,0.00107
6,D#1,1.44,0.0138,0.00105
7,E1,1.42,0.0132,0.00102
8,F1,1.4,0.0127,0.001
9,F#1,1.38,0.0122,0.00098
10,G1,1.36,0.0117,0.00096
11,G#1,1.34,0.0112,0.00095
12,A1,1.32,0.0108,0.00093
13,A#1,1.3,0.0104,0.00092
14,B1,1.28,0.01,0.0009
15,C2,1.25,0.0096,0.00088
16,C#2,1.22,0.0092,0.00087
17,D2,1.2,0.0088,0.00085
18,D#2,1.18,0.0084,0.00084
19,E2,1.15,0.008,0.00083
20,F2,1.13,0.0078,0.00082
21,F#2,1.11,0.0075,0.00081
22,G2,1.09,0.0072,0.0008
23,G#2,1.07,0.007,0.00079
24,A2,1.05,0.0068,0.00078
25,A#2,1.03,0.0066,0.00077
26,B2,1.0,0.0064,0.00076
27,C3,0.97,0.0061,0.00075
28,C#3,0.94,0.0059,0.00074
29,D3,0.91,0.0057,0.00073
30,D#3,0.88,0.00555,0.00072
31,E3,0.85,0.0054,0.00071
32,F3,0.82,0.0052,0.0007
33,F#3,0.795,0.00505,0.0007
34,G3,0.77,0.0049,0.00069
35,G#3,0.745,0.0048,0.00069
36,A3,0.72,0.0047,0.00068
37,A#3,0.695,0.0046,0.00068
38,B3,0.67,0.0045,0.00067
39,C4,0.655,0.0043,0.00065
40,C#4,0.63,0.00415,0.00063
41,D4,0.605,0.004,0.00061
42,D#4,0.58,0.0039,0.0006
43,E4,0.555,0.0038,0.00058
44,F4,0.53,0.0037,0.00056
45,F#4,0.505,0.0036,0.00054
46,G4,0.485,0.0035,0.00052
47,G#4,0.465,0.0034,0.0005
48,A4,0.45,0.0033,0.00049
49,A#4,0.43,0.00315,0.00048
50,B4,0.41,0.00305,0.00047
51,C5,0.395,0.00295,0.00046
52,C#5,0.38,0.00285,0.00045
53,D5,0.365,0.00275,0.00044
54,D#5,0.35,0.00265,0.00043
55,E5,0.335,0.00255,0.00042
56,F5,0.32,0.00245,0.00041
57,F#5,0.305,0.00235,0.0004
58,G5,0.29,0.00225,0.00039
59,G#5,0.275,0.00215,0.00038
60,A5,0.26,0.00205,0.00037
61,A#5,0.245,0.00195,0.00036
62,B5,0.23,0.00185,0.00035
63,C6,0.215,0.00175,0.00034
64,C#6,0.2,0.00165,0.00033
65,D6,0.185,0.00155,0.00032
66,D#6,0.17,0.00145,0.00031
67,E6,0.16,0.00135,0.0003
68,F6,0.15,0.0013,0.00029
69,F#6,0.145,0.00125,0.00028
70,G6,0.14,0.0012,0.00027
71,G#6,0.135,0.00115,0.00026
72,A6,0.13,0.0011,0.00025
73,A#6,0.125,0.00105,0.00024
74,B6,0.12,0.001,0.00023
75,C7,0.115,0.00095,0.00022
76,C#7,0.11,0.0009,0.00021
77,D7,0.105,0.00085,0.0002
78,D#7,0.1,0.0008,0.00019
79,E7,0.095,0.00075,0.00018
80,F7,0.09,0.0007,0.00017
81,F#7,0.085,0.00065,0.00016
82,G7,0.08,0.0006,0.00015
83,G#7,0.075,0.00055,0.00014
84,A7,0.07,0.0005,0.00013
85,A#7,0.065,0.00048,0.00012
86,B7,0.06,0.00046,0.00011
87,C8,0.055,0.00045,0.0001
